id,system_number,label_id,description,executor,company,criticality,anomaly_id,date_start,date_end,datetime_start,datetime_end,adress_id,parent
73407459,00000023/21,2,"течет сверху и по эл,счетчику.",Аварийная служба (Академический),ГБУ «ЖИЛИЩНИК РАЙОНА АКАДЕМИЧЕСКИЙ»,Аварийная,1,2021-01-01 00:30,2021-01-01 01:32,,,23,73407459
73407461,00000024/21,6,в подъезде ложное срабатывание система ДУ система ППА,Мастерский участок № 2 (Старое Крюково),ГБУ «ЖИЛИЩНИК ЗЕЛАО»,Обычная,1,2021-01-01 00:31,2021-01-01 01:01,,,24,73407461
73407474,00000025/21,6,в подъезде ложное срабатывание система ДУ система ППА,Мастерский участок № 6 (Коньково),,Обычная,2,2021-01-01 00:32,2021-01-01 01:04,,,25,73407474
73407476,00000026/21,2,в ванной ГВС.,ООО «УК ЮНИ-ДОМ»,ООО «УК ЮНИ-ДОМ»,Аварийная,1,2021-01-01 00:33,2021-01-01 01:25,,,26,73407476
73407494,00000027/21,3,во всей квартире все батареи холодные.,"ПАО ""МОЭК"" ",ГБУ «ЖИЛИЩНИК РАЙОНА СОКОЛИНАЯ ГОРА»,Обычная,2,2021-01-01 00:35,2021-01-01 03:51,,,27,73407494
73407495,00000028/21,3,"Гудит из подвала аушка. Опять тот же самый гул, что и был до включения центрального отопления. Спать ночью невозможно.",Мастерский участок 4 (Рязанский),ГБУ «ЖИЛИЩНИК РЯЗАНСКОГО РАЙОНА»,Обычная,2,2021-01-01 00:35,2021-01-01 08:00,,,28,73407495
73407496,00000029/21,4,в квартире заявителя,Аварийная служба (Академический),ГБУ «ЖИЛИЩНИК РАЙОНА АКАДЕМИЧЕСКИЙ»,Аварийная,2,2021-01-01 00:35,2021-01-01 00:45,,,29,73407496
73407508,00000030/21,4,В щитке искрит,АС Гольяново,ГБУ «ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО»,Обычная,3,2021-01-01 00:38,2021-01-01 01:49,,,30,73407508
73407515,00000031/21,9,единственный лифт стоит на 8-ом этаже с открытыми дверьми,АО «МОСЛИФТ»,ЖСК «ВОЛОГДА»,Обычная,1,2021-01-01 00:38,2021-01-01 01:03,,,31,73407515
73407519,00000032/21,10,Мусоропровод забит 2этаж и выше,Эксплуатационный участок № 3 (Филёвский Парк),ГБУ «ЖИЛИЩНИК РАЙОНА ФИЛЕВСКИЙ ПАРК»,Обычная,1,2021-01-01 00:39,2021-01-01 01:15,,,16,73407519
73407524,00000033/21,2,течет гвс.,Мастерский участок № 7 (Хорошёвский),ГБУ «ЖИЛИЩНИК ХОРОШЕВСКОГО РАЙОНА»,Аварийная,1,2021-01-01 00:39,2021-01-01 03:00,,,32,73407524
73407532,00000034/21,2,В ванной капает с потолка,Аварийная Служба (Обручевский),ЖСК «ВЫСОТНЫЙ»,Обычная,1,2021-01-01 00:40,2021-01-01 09:26,,,33,73407532
73407535,00000035/21,2,"Сильный засор в ванной , ванна полная воды.",Мастерский участок № 2 (Чертаново Северное),ГБУ «ЖИЛИЩНИК РАЙОНА ЧЕРТАНОВО СЕВЕРНОЕ»,Обычная,1,2021-01-01 00:40,2021-01-01 10:27,,,34,73407535
73407541,00000036/21,1,"Не сливается вода в ванной, наполняется при открытии кранов на кухне или раковине ванны. Течет на пол",Мастерский участок № 1 (Савёловский),ГБУ «ЖИЛИЩНИК САВЕЛОВСКОГО РАЙОНА»,Обычная,1,2021-01-01 00:41,2021-01-01 12:24,,,35,73407541
73407553,00000037/21,4,Полностью обесточено,Аварийная служба (Коньково),ГБУ«ЖИЛИЩНИК РАЙОНА КОНЬКОВО»,Аварийная,1,2021-01-01 00:43,2021-01-01 01:28,,,36,73407553
73407572,00000038/21,6,"в подъезде_ ложное срабатывание,задымления нет.","ООО ""СтронгЭнерго""",ООО УК «ПЕНТА»,Обычная,3,2021-01-01 00:45,2021-01-01 01:44,,,37,73407572
73407573,00000039/21,10,Засор мусоропровода,Мастерский участок № 2 (Ярославский),ГБУ «ЖИЛИЩНИК ЯРОСЛАВСКОГО РАЙОНА»,Обычная,1,2021-01-01 00:45,2021-01-01 02:58,,,38,73407573
73407579,00000040/21,2,По стояку сверху сильно капает ХВс,ТСЖ «БОРОВСКОЕ 20-1»,ТСЖ «БОРОВСКОЕ 20-1»,Аварийная,1,2021-01-01 00:46,2021-01-01 01:36,,,39,73407579
73407583,00000041/21,3,Во всей квартире,"ПАО ""МОЭК"" ",ГБУ «ЖИЛИЩНИК РАЙОНА СОКОЛИНАЯ ГОРА»,Обычная,2,2021-01-01 00:46,2021-01-01 03:52,,,40,73407583
73407586,00000042/21,2,кухня,Аварийная служба (Коньково),ГБУ«ЖИЛИЩНИК РАЙОНА КОНЬКОВО»,Аварийная,2,2021-01-01 00:47,2021-01-01 01:19,,,41,73407586
73407589,00000043/21,1,на кухне в ванной комнате вода поднимается,Аварийная служба (Коптево),ООО «МАКС-XXI»,Аварийная,1,2021-01-01 00:48,2021-01-01 03:04,,,42,73407589
73407592,00000044/21,6,Дыма нет,Аварийная служба (Лосиноостровский),ГБУ «ЖИЛИЩНИК ЛОСИНООСТРОВСКОГО РАЙОНА»,Аварийная,1,2021-01-01 00:49,2021-01-01 01:23,,,43,73407592
73407593,00000045/21,6,"В подъезде_, запаха гари нет задымления нет",Мастерский участок № 2 (Старое Крюково),ГБУ «ЖИЛИЩНИК ЗЕЛАО»,Обычная,1,2021-01-01 00:49,2021-01-01 01:01,,,24,73407593
73407599,00000046/21,2,стояк ГВС течет труба,Аварийная служба (Южное Медведково),ГБУ «ЖИЛИЩНИК РАЙОНА ЮЖНОЕ МЕДВЕДКОВО»,Аварийная,1,2021-01-01 00:50,2021-01-01 01:41,,,44,73407599
73407606,00000047/21,2,в ванной под раковиной,Мастерский участок № 1 (Якиманка),ГБУ «ЖИЛИЩНИК РАЙОНА ЯКИМАНКА»,Аварийная,1,2021-01-01 00:51,2021-01-01 11:58,,,45,73407606
73407609,00000048/21,6,в подъезде_ дыма нет,Аварийная служба (Косино-Ухтомский),ГБУ «ЖИЛИЩНИК РАЙОНА КОСИНО-УХТОМСКИЙ»,Обычная,1,2021-01-01 00:51,2021-01-01 02:24,,,46,73407609
73407620,00000049/21,9,"единственный пассажирский, стоит на 6 этаже, двери открыты свет горит","ООО ""СП ПРАКТИКА""",ГБУ «ЖИЛИЩНИК РАЙОНА КУЗЬМИНКИ»,Обычная,2,2021-01-01 00:52,2021-01-01 01:29,,,47,73407620
73407626,00000050/21,3,соединение стояка ЦО и отвода  течь сильная,Аварийная служба (Текстильщики),ГБУ «ЖИЛИЩНИК РАЙОНА ТЕКСТИЛЬЩИКИ»,Аварийная,1,2021-01-01 00:53,2021-01-01 01:21,,,48,73407626
73407628,00000051/21,4,Полностью обесточено,Аварийная служба (Черемушки),ГБУ «ЖИЛИЩНИК РАЙОНА ЧЕРЕМУШКИ»,Аварийная,1,2021-01-01 00:53,2021-01-01 01:08,,,49,73407628
73407631,00000052/21,4,"треск,перепады напряжения включается и выключается свет",РЭУ-2 (Люблино),ГБУ «ЖИЛИЩНИК РАЙОНА ЛЮБЛИНО»,Обычная,1,2021-01-01 00:54,2021-01-01 01:24,,,50,73407631
73407642,00000053/21,9,грузовой  лифт . между 4 и 5 этажами  .  житель с маленьким ребенком,"ООО ""СП ПРАКТИКА""",ГБУ «ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ МЕДВЕДКОВО»,Обычная,1,2021-01-01 00:55,2021-01-01 01:26,,,51,73407642
73407643,00000054/21,4,"Повторное обращение, заявка 5256xxx не выполнена . В электрощитке обрезаны провода, свисают . Не освещения в квартирах.",Мастерский участок № 1 (Внуково),ГБУ «ЖИЛИЩНИК РАЙОНА ВНУКОВО»,Обычная,1,2021-01-01 00:55,2021-01-01 01:36,,,52,73407643
73407644,00000055/21,2,С потолка в комнате через люстру.,АС Бирюлево Западное,ГБУ «ЖИЛИЩНИК РАЙОНА БИРЮЛЕВО ЗАПАДНОЕ»,Аварийная,1,2021-01-01 00:55,2021-01-01 01:25,,,53,73407644
73407647,00000056/21,10,Засор,Мастерский участок №1 (Косино-Ухтомский),ГБУ «ЖИЛИЩНИК РАЙОНА КОСИНО-УХТОМСКИЙ»,Обычная,1,2021-01-01 00:56,2021-01-01 08:48,,,54,73407647
73407648,00000057/21,9,оба не реагирует на кнопку вызова,"ООО ""СП ПРАКТИКА""",ГБУ «ЖИЛИЩНИК РАЙОНА СЕВЕРНЫЙ»,Обычная,1,2021-01-01 00:56,2021-01-01 02:05,,,55,73407648
73407656,00000058/21,4,Во всей квартире заявителя нет электричества.,РЭУ-15 (Хорошево-Мневники),ГБУ «ЖИЛИЩНИК РАЙОНА ХОРОШЕВО-МНЕВНИКИ»,Аварийная,4,2021-01-01 00:56,2021-01-01 02:01,,,56,73407656
73407662,00000059/21,11,Нечиститься снег на тратуарах,"ООО ""Комфорт""",ТСЖ «СНЕЖНАЯ 23»,Обычная,1,2021-01-01 00:57,2021-01-01 01:00,,,57,73407662
73407663,00000060/21,9,"единственный, стоит на 1 этаже с открытыми дверями, на вызов не реагирует",АО «МОСЛИФТ»,ГБУ «ЖИЛИЩНИК ДАНИЛОВСКОГО РАЙОНА»,Обычная,1,2021-01-01 00:57,2021-01-01 02:19,,,58,73407663
73407666,00000061/21,4,во всем доме,"ООО  ""АС ВКО""",ГБУ «ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО»,Аварийная,1,2021-01-01 00:58,2021-01-01 01:20,,,59,73407666
73407667,00000062/21,5,во дворе дома не горит,"АО ""ОЭК""",ГБУ «ЖИЛИЩНИК РАЙОНА ЩУКИНО»,Обычная,2,2021-01-01 00:58,2021-01-01 01:38,,,60,73407667
73407674,00000063/21,3,Во всей квартире,"ПАО ""МОЭК"" ",ГБУ «ЖИЛИЩНИК РАЙОНА СОКОЛИНАЯ ГОРА»,Обычная,1,2021-01-01 00:59,2021-01-01 03:52,,,61,73407674
73407683,00000064/21,2,конденсат на стояке ГВС,Участок №4 (Марьино),ГБУ «ЖИЛИЩНИК РАЙОНА МАРЬИНО»,Обычная,1,2021-01-01 01:00,2021-01-01 21:50,,,62,73407683
73407689,00000065/21,3,во всей квартире,Аварийная служба (Красносельский),ГБУ «ЖИЛИЩНИК КРАСНОСЕЛЬСКОГО РАЙОНА»,Обычная,1,2021-01-01 01:01,2021-01-01 01:02,,,63,73407689
73407697,00000066/21,2,В приквартирном холле сильный гул от трубы,Аварийная служба (Бескудниковский),ГБУ «ЖИЛИЩНИК БЕСКУДНИКОВСКОГО РАЙОНА»,Обычная,1,2021-01-01 01:02,2021-01-01 02:09,,,64,73407697
73407698,00000067/21,9,пассажирский    лиф на 4 этаже,ЗАО «ЭСТЕЙТ СЕРВИС ДИРЕКЦИЯ КУРКИНО СЗАО»,ЗАО «ЭСТЕЙТ СЕРВИС ДИРЕКЦИЯ КУРКИНО СЗАО»,Обычная,1,2021-01-01 01:02,2021-01-01 01:30,,,65,73407698
73407710,00000068/21,3,Холодные батареи и стояк в 1 из комнат,"ООО ""РЕМ ЭКО""",ООО «УК «ЖИЛИЩЕ»,Обычная,2,2021-01-01 01:03,2021-01-01 12:04,,,66,73407710
73407714,00000069/21,4,Частично в квартире нет верхнего света и не работают все розетки,ООО «АВИЛОН-М»,ООО «АВИЛОН-М»,Обычная,2,2021-01-01 01:04,2021-01-01 02:04,,,67,73407714
73407715,00000070/21,1,в ванной комнате вода медленно уходит,Аварийная служба (Ховрино),ГБУ «ЖИЛИЩНИК РАЙОНА ХОВРИНО»,Обычная,1,2021-01-01 01:04,2021-01-01 01:47,,,68,73407715
73407727,00000071/21,11,У подъезда просто каток.,Отдел благоустройства (Бабушкинский),ГБУ «ЖИЛИЩНИК БАБУШКИНСКОГО РАЙОНА»,Обычная,2,2021-01-01 01:05,2021-01-01 06:49,,,69,73407727
73407730,00000072/21,1,"Магазин ""Дикси"". Вход отдельный. Течет по стояку канализации в магазине и топится подвал",РЭУ-2 (Люблино),ГБУ «ЖИЛИЩНИК РАЙОНА ЛЮБЛИНО»,Аварийная,2,2021-01-01 01:06,2021-01-01 03:18,,,70,73407730
73407735,00000073/21,2,Из крана горячей воды идет еле теплая. Полотенцесушитель водяной еле теплый,"ПАО ""МОЭК"" ",ГБУ «ЖИЛИЩНИК РАЙОНА МАРЬИНО»,Обычная,1,2021-01-01 01:06,2021-01-01 03:32,,,71,73407735
73407737,00000074/21,1,вода переливается,АС Солнцево,ГБУ «ЖИЛИЩНИК РАЙОНА СОЛНЦЕВО»,Аварийная,3,2021-01-01 01:07,2021-01-01 01:40,,,72,73407737
73407743,00000075/21,2,Еле теплый.,ООО «ЭКСЖИЛ»,ГБУ «ЖИЛИЩНИК РАЙОНА МАРЬИНО»,Обычная,3,2021-01-01 01:07,2021-01-01 03:33,,,71,73407743
73407745,00000076/21,11,Что за безобразие??????!!!!!!  Что значит статус первой заявки-« оказана консультация по телефону»???????   Лёд  почистили по телефону?!,Отдел благоустройства (Бабушкинский),ГБУ «ЖИЛИЩНИК БАБУШКИНСКОГО РАЙОНА»,Обычная,1,2021-01-01 01:07,2021-01-01 06:49,,,69,73407745
73407758,00000077/21,2,Стояк ГВС,Аварийная Служба (Филевский Парк),ГБУ «ЖИЛИЩНИК РАЙОНА ФИЛЕВСКИЙ ПАРК»,Аварийная,1,2021-01-01 01:08,2021-01-01 01:54,,,73,73407758
73407768,00000078/21,10,Засор мусоропровода,Эксплуатационный участок № 1 (Ново-Переделкино),ГБУ «ЖИЛИЩНИК РАЙОНА НОВО-ПЕРЕДЕЛКИНО»,Обычная,1,2021-01-01 01:10,2021-01-01 08:37,,,74,73407768
73407771,00000079/21,5,Около  2 и 3 подьезда не горят фонари.,Мастерский участок № 1 (Тропарево-Никулино),ЖСК «Квартет-2»,Обычная,1,2021-01-01 01:11,2021-01-01 01:33,,,75,73407771
73407776,00000080/21,9,единственный пассажирский,"АО ""МОС ОТИС""",ООО «ГРАНАТ»,Обычная,1,2021-01-01 01:11,2021-01-01 01:37,,,76,73407776
73407780,00000081/21,9,грузовой,"ООО ""ПЛК""",ООО «ЭКСЖИЛ»,Обычная,1,2021-01-01 01:12,2021-01-01 01:44,,,77,73407780
73407781,00000082/21,9,"на 1 этаже в каком не знают,скорая не требуется.","ООО ""СП ПРАКТИКА""",ГБУ «ЖИЛИЩНИК РЯЗАНСКОГО РАЙОНА»,Обычная,1,2021-01-01 01:12,2021-01-01 01:38,,,78,73407781
73407785,00000083/21,2,"В комнате гулкий шум,",Аварийная служба (Бескудниковский),ГБУ «ЖИЛИЩНИК БЕСКУДНИКОВСКОГО РАЙОНА»,Обычная,1,2021-01-01 01:13,2021-01-01 02:09,,,79,73407785
73407791,00000084/21,12,В комнате через люстру.,Мастерский участок № 3 (Замоскворечье),ГБУ «ЖИЛИЩНИК РАЙОНА ЗАМОСКВОРЕЧЬЕ»,Аварийная,1,2021-01-01 01:14,2021-01-01 15:51,,,80,73407791
73407794,00000085/21,6,в подъезде ложное срабатывание система ДУ система ППА,Мастерский участок №2 (Косино-Ухтомский),ГБУ «ЖИЛИЩНИК РАЙОНА КОСИНО-УХТОМСКИЙ»,Обычная,1,2021-01-01 01:14,2021-01-01 02:25,,,81,73407794
73407796,00000086/21,3,1 3,Мастерский участок б/н (Соколиная гора),ГБУ «ЖИЛИЩНИК РАЙОНА СОКОЛИНАЯ ГОРА»,Обычная,1,2021-01-01 01:14,2021-01-01 01:35,,,82,73407796
73407806,00000087/21,10,Неубранный лестничный пролёт между 3-м и 4-м этажом. Пепел на полу и мусор на подоконнике,Мастерский участок № 3 (Измайлово),ГБУ «ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО»,Обычная,1,2021-01-01 01:16,2021-01-01 01:18,,,83,73407806
73407813,00000088/21,6,"в подъезде_ ложное срабатывание,задымления нет.",Отдел АУП,ГБУ «ЖИЛИЩНИК РАЙОНА СЕВЕРНЫЙ»,Обычная,4,2021-01-01 01:17,2021-01-01 02:03,,,84,73407813
73407814,00000089/21,3,Во всей квартире,"КП ""МЭД""",ГБУ «ЖИЛИЩНИК РАЙОНА ФИЛЕВСКИЙ ПАРК»,Обычная,1,2021-01-01 01:17,2021-01-01 02:37,,,85,73407814
73407817,00000090/21,4,в квартире заявителя,Мастерский участок № 3 (Марьина Роща),ГБУ «ЖИЛИЩНИК РАЙОНА МАРЬИНА РОЩА»,Аварийная,1,2021-01-01 01:17,2021-01-01 01:47,,,86,73407817
73407825,00000091/21,2,С потолка в ванной и коридоре,Аварийная служба (Фили-Давыдково),ГБУ «ЖИЛИЩНИК РАЙОНА ФИЛИ-ДАВЫДКОВО»,Аварийная,1,2021-01-01 01:19,2021-01-01 02:04,,,87,73407825
73407830,00000092/21,1,под ванной,Аварийная служба (Царицыно),ГБУ «ЖИЛИЩНИК РАЙОНА ЦАРИЦЫНО»,Аварийная,1,2021-01-01 01:20,2021-01-01 02:21,,,88,73407830
73407833,00000093/21,9,Застревание в 3 лифте.,"ООО ""СП ПРАКТИКА""",ГБУ «ЖИЛИЩНИК ХОРОШЕВСКОГО РАЙОНА»,Обычная,1,2021-01-01 01:20,2021-01-01 01:44,,,89,73407833
73407838,00000094/21,2,В обоих кранах горячая вода,РЭУ-4 (Щукино),ГБУ «ЖИЛИЩНИК РАЙОНА ЩУКИНО»,Обычная,1,2021-01-01 01:20,2021-01-01 13:25,,,90,73407838
73407844,00000095/21,13,"Течет вода по пожарному стояку, капает в пожарном ящике, потеки на межэтажных перекрытиях возле стояка",Аварийная служба (Можайский),ГБУ «ЖИЛИЩНИК МОЖАЙСКОГО РАЙОНА»,Обычная,1,2021-01-01 01:22,2021-01-01 02:38,,,91,73407844
73407846,00000096/21,3,В комнате прорвало батарея,Аварийная Служба (Филевский Парк),ГБУ «ЖИЛИЩНИК РАЙОНА ФИЛЕВСКИЙ ПАРК»,Аварийная,4,2021-01-01 01:22,2021-01-01 02:06,,,92,73407846
73407849,00000097/21,9,грузовой,"ООО ""СУ №18 ЛИФТ""",ООО «УК «ЖИЛФОНД»,Обычная,1,2021-01-01 01:22,2021-01-01 01:33,,,93,73407849
73407853,00000098/21,9,пассажирский лифт . житель с детьми,"ООО ""СП ПРАКТИКА""",ГБУ «ЖИЛИЩНИК РЯЗАНСКОГО РАЙОНА»,Обычная,1,2021-01-01 01:23,2021-01-01 01:51,,,78,73407853
73407856,00000099/21,10,забит на 1 этаже прочистить и убрать на площадке.,Мастерский участок № 3 (Останкинский),ГБУ «ЖИЛИЩНИК ОСТАНКИНСКОГО РАЙОНА»,Обычная,1,2021-01-01 01:24,2021-01-01 03:00,,,94,73407856
73407866,00000100/21,2,в кране ГВС нет воды.,Мастерский участок № 3 (Алексеевский),ГБУ «ЖИЛИЩНИК АЛЕКСЕЕВСКОГО РАЙОНА»,Обычная,1,2021-01-01 01:25,2021-01-01 01:27,,,95,73407866
73407868,00000101/21,9,грузовой  лифт на 3 этаже,"ОАО ""МОС ОТИС""",ЗАО РСФ «РЕМСТРОЙСЕРВИС»,Обычная,1,2021-01-01 01:26,2021-01-01 02:54,,,96,73407868
73407869,00000102/21,1,Вода переливается,Аварийная служба (Бибирево),ГБУ «ЖИЛИЩНИК РАЙОНА БИБИРЕВО»,Аварийная,1,2021-01-01 01:26,2021-01-01 01:35,,,97,73407869
73407879,00000103/21,2,"Из крана ГВС течет еле теплая вода, полотенцесушитель еле теплый","ПАО ""МОЭК"" ",ГБУ «ЖИЛИЩНИК РАЙОНА МАРЬИНО»,Обычная,1,2021-01-01 01:27,2021-01-01 03:35,,,98,73407879
73407886,00000104/21,3,Во всей квартире чуть теплые батареи,Участок №5 (Марьино),ГБУ «ЖИЛИЩНИК РАЙОНА МАРЬИНО»,Обычная,1,2021-01-01 01:28,2021-01-01 03:38,,,98,73407886
73407889,00000105/21,9,"правый на 11 этаже,скорая не требуется.","ООО ""СП ПРАКТИКА""",ГБУ «ЖИЛИЩНИК АЛЕКСЕЕВСКОГО РАЙОНА»,Обычная,1,2021-01-01 01:29,2021-01-01 01:52,,,99,73407889
73407896,00000106/21,3,Во всей квартире,"ПАО ""МОЭК"" ",ГБУ «ЖИЛИЩНИК ВЫХИНО РАЙОНА «ВЫХИНО-ЖУЛЕБИНО»,Обычная,1,2021-01-01 01:30,2021-01-01 06:01,,,100,73407896
73407902,00000107/21,4,в подъезде закрыть дверь электрощитовой,Мастерский участок № 2 (Бибирево),ГБУ «ЖИЛИЩНИК РАЙОНА БИБИРЕВО»,Обычная,1,2021-01-01 01:31,2021-01-01 08:13,,,101,73407902
73407906,00000108/21,8,закрыть дверь крыши.,Мастерский участок № 4 (Матушкино),ГБУ «ЖИЛИЩНИК ЗЕЛАО»,Обычная,1,2021-01-01 01:31,2021-01-01 03:13,,,102,73407906
73407910,00000109/21,9,"Застревание в лифте ""А""",АО «МОСЛИФТ»,ГБУ «ЖИЛИЩНИК РАЙОНА МАРЬИНО»,Обычная,1,2021-01-01 01:32,2021-01-01 01:45,,,103,73407910
73407913,00000110/21,3,В о всей квартире,Участок №5 (Марьино),ГБУ «ЖИЛИЩНИК РАЙОНА МАРЬИНО»,Обычная,1,2021-01-01 01:33,2021-01-01 03:37,,,104,73407913
73407919,00000111/21,2,"Из крана ГВС течет еле теплая вода, полотенцесушитель холодный",Участок №5 (Марьино),ГБУ «ЖИЛИЩНИК РАЙОНА МАРЬИНО»,Обычная,1,2021-01-01 01:33,2021-01-01 03:40,,,104,73407919
73407927,00000112/21,9,В грузовом  лифте.,АО «МОСЛИФТ»,ГБУ «ЖИЛИЩНИК РАЙОНА МАРЬИНО»,Обычная,1,2021-01-01 01:34,2021-01-01 01:52,,,105,73407927
73407931,00000113/21,14,от соседей шуми гул  . житель утверждает что гул как от гениратора . не может уточнить от куда,Аварийная служба (Бескудниковский),ГБУ «ЖИЛИЩНИК БЕСКУДНИКОВСКОГО РАЙОНА»,Обычная,1,2021-01-01 01:35,2021-01-01 02:10,,,106,73407931
73407934,00000114/21,5,над всеми подъездами включить,"Мастерский участок № 5, № 6 (Зюзино)",ГБУ «ЖИЛИЩНИК РАЙОНА ЗЮЗИНО»,Обычная,1,2021-01-01 01:35,2021-01-01 04:08,,,107,73407934
